Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2
Akeidat Yitzchak 16:19,Genesis 18:19,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 16:27,Bereishit Rabbah 63,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 16:27,Isaiah 29:22,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 16:28,Proverbs 17:6,,Akeidat Yitzchak,Proverbs,Parshanut,Tanach
Akeidat Yitzchak 16:46,Bereishit Rabbah 64,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 16:46,Nedarim 32a,,Akeidat Yitzchak,Nedarim,Parshanut,Talmud
Akeidat Yitzchak 16:47,Deuteronomy 20:19,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 16:5,Proverbs 30:5,,Akeidat Yitzchak,Proverbs,Parshanut,Tanach
Akeidat Yitzchak 16:50,Bereishit Rabbah 39,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 16:50,Deuteronomy 4:7,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 16:54,Gittin 38a,,Akeidat Yitzchak,Gittin,Parshanut,Talmud
Akeidat Yitzchak 16:57,Genesis 42,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 16:6,Isaiah 44:24,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 16:64,Genesis 12:20,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 16:66,Isaiah 50:10,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 16:67,Isaiah 51:2,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 16:76,Genesis 23:16,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 16:8,Shabbat 104a,,Akeidat Yitzchak,Shabbat,Parshanut,Talmud
Akeidat Yitzchak 16:8,Deuteronomy 30:11,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 16:83,Ecclesiastes 5:18,,Akeidat Yitzchak,Ecclesiastes,Parshanut,Tanach
Akeidat Yitzchak 17:1,Bereishit Rabbah 44,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 17:12,Sotah 3a,,Akeidat Yitzchak,Sotah,Parshanut,Talmud
Akeidat Yitzchak 17:13,Horayot 10a,,Akeidat Yitzchak,Horayot,Parshanut,Talmud
Akeidat Yitzchak 17:13,Hosea 14:10,,Akeidat Yitzchak,Hosea,Parshanut,Tanach
Akeidat Yitzchak 17:16,Isaiah 64:3,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 17:18,Bereishit Rabbah 44,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 17:21,Exodus 34:7,,Akeidat Yitzchak,Exodus,Parshanut,Tanach
Akeidat Yitzchak 17:23,Isaiah 58:11,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 17:34,Genesis 16:13,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 17:35,Shabbat 10a,,Akeidat Yitzchak,Shabbat,Parshanut,Talmud
Akeidat Yitzchak 17:35,Yevamot 30a,,Akeidat Yitzchak,Yevamot,Parshanut,Talmud
Akeidat Yitzchak 17:36,Psalms 62:13,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 17:4,Deuteronomy 4:9,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 17:44,Genesis 18:14,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 17:47,Bereishit Rabbah 46,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 17:47,Ecclesiastes 3:1,,Akeidat Yitzchak,Ecclesiastes,Parshanut,Tanach
Akeidat Yitzchak 17:47,Genesis 17:26,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 17:49,Genesis 16:7,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 17:53,Bereishit Rabbah 45,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 17:7,Proverbs 20:5,,Akeidat Yitzchak,Proverbs,Parshanut,Tanach
Akeidat Yitzchak 17:9,Kiddushin 39a,,Akeidat Yitzchak,Kiddushin,Parshanut,Talmud
Akeidat Yitzchak 18:1,Nedarim 31a,,Akeidat Yitzchak,Nedarim,Parshanut,Talmud
Akeidat Yitzchak 18:1,Jeremiah 9:25,,Akeidat Yitzchak,Jeremiah,Parshanut,Tanach
Akeidat Yitzchak 18:1,I Samuel 17:36,,Akeidat Yitzchak,I Samuel,Parshanut,Tanach
Akeidat Yitzchak 18:1,Jeremiah 33:25,,Akeidat Yitzchak,Jeremiah,Parshanut,Tanach
Akeidat Yitzchak 18:1,II Samuel 1,,Akeidat Yitzchak,II Samuel,Parshanut,Tanach
Akeidat Yitzchak 18:13,Bava Metzia 114a,,Akeidat Yitzchak,Bava Metzia,Parshanut,Talmud
Akeidat Yitzchak 18:15,Pirkei Avot 6:9,,Akeidat Yitzchak,Pirkei Avot,Parshanut,Mishnah
Akeidat Yitzchak 18:15,Psalms 104:24,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 18:17,Proverbs 8:22,,Akeidat Yitzchak,Proverbs,Parshanut,Tanach
Akeidat Yitzchak 18:17,Genesis 14:18,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 18:17,Malachi 2:7,,Akeidat Yitzchak,Malachi,Parshanut,Tanach
Akeidat Yitzchak 18:2,Exodus 24:8,,Akeidat Yitzchak,Exodus,Parshanut,Tanach
Akeidat Yitzchak 18:23,Bereishit Rabbah 29,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
